program,example_branch_cover_pct,notes,coverup_branch_numeric,coverup_valid_numeric
LeastSquareFitting2,100.00,LeastSquareFitting2	100.00 | OK,100.00,1
LeastSquareFitting3,100.00,LeastSquareFitting3	100.00 | OK,100.00,1
Linear_equation1,100.00,Linear_equation1	100.00 | OK,100.00,1
Linear_equation2,95.83,Linear_equation2	95.83 | OK,95.83,1
Linear_equation3,96.83,Linear_equation3	96.83 | OK,96.83,1
Linear_equation4,21.43,Linear_equation4	21.43 | PYTEST_FAIL |  | no tests ran in 0.04s | ,21.43,1
Linear_equation5,54.55,Linear_equation5	54.55 | OK,54.55,1
Linear_equation6,94.55,Linear_equation6	94.55 | OK,94.55,1
MatrixExponential1,100.00,MatrixExponential1	100.00 | OK,100.00,1
MatrixExponential2,100.00,MatrixExponential2	100.00 | OK,100.00,1
MatrixExponential3,100.00,MatrixExponential3	100.00 | OK,100.00,1
NumPy_arraysetops_unique,100.00,NumPy_arraysetops_unique	100.00 | OK,100.00,1
NumPy_arrayterator_slice,100.00,NumPy_arrayterator_slice	100.00 | OK,100.00,1
NumPy_covariance_helper,100.00,NumPy_covariance_helper	100.00 | OK,100.00,1
NumPy_histogram_edges,100.00,NumPy_histogram_edges	100.00 | OK,100.00,1
NumPy_iotools_converter,46.51,NumPy_iotools_converter	46.51 | OK,46.51,1
NumPy_masked_mean_var,100.00,NumPy_masked_mean_var	100.00 | OK,100.00,1
NumPy_nanfunctions_remove,100.00,NumPy_nanfunctions_remove	100.00 | OK,100.00,1
NumPy_pad_pairs,100.00,NumPy_pad_pairs	100.00 | OK,100.00,1
NumPy_polynomial_format,100.00,NumPy_polynomial_format	100.00 | OK,100.00,1
NumPy_quantile_validate,100.00,NumPy_quantile_validate	100.00 | OK,100.00,1
NumPy_twodim_diag,100.00,NumPy_twodim_diag	100.00 | OK,100.00,1
NumPy_version_compare,100.00,NumPy_version_compare	100.00 | OK,100.00,1
NumericalExtra_4th_order_runge_kutta_runge_method_010,100.00,NumericalExtra_4th_order_runge_kutta_runge_method_010	100.00 | OK,100.00,1
NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001,16.07,NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001	16.07 | OK,16.07,1
NumericalExtra_Gram_Schmidt_QR_gram_schmidt_factorization_006,100.00,NumericalExtra_Gram_Schmidt_QR_gram_schmidt_factorization_006	100.00 | OK,100.00,1
NumericalExtra_bisection_bisection_003,8.70,NumericalExtra_bisection_bisection_003	8.70 | PYTEST_FAIL |  | no tests ran in 0.05s | ,8.70,1
NumericalExtra_guass_seidel_gauss_seidel_002,100.00,NumericalExtra_guass_seidel_gauss_seidel_002	100.00 | OK,100.00,1
NumericalExtra_householder_qr_decomposition_householder_qr_decomposition_009,100.00,NumericalExtra_householder_qr_decomposition_householder_qr_decomposition_009	100.00 | OK,100.00,1
NumericalExtra_jacobi_jacobi_005,100.00,NumericalExtra_jacobi_jacobi_005	100.00 | OK,100.00,1
NumericalExtra_lagrange_interpolation_lagrange_interpolation_008,100.00,NumericalExtra_lagrange_interpolation_lagrange_interpolation_008	100.00 | OK,100.00,1
NumericalExtra_newton_divided_difference_divided_diff_004,100.00,NumericalExtra_newton_divided_difference_divided_diff_004	100.00 | OK,100.00,1
NumericalExtra_quadrature_error_replacement,100.00,NumericalExtra_quadrature_error_replacement	100.00 | OK,100.00,1
NumericalExtra_secant_step_replacement,4.17,NumericalExtra_secant_step_replacement	4.17 | PYTEST_FAIL |  | no tests ran in 0.05s | ,4.17,1
ODEPDEExtra_adaptive_time_step,100.00,ODEPDEExtra_adaptive_time_step	100.00 | OK,100.00,1
ODEPDEExtra_burgers_shock_flux,100.00,ODEPDEExtra_burgers_shock_flux	100.00 | OK,100.00,1
