program,dataset_group,scope,entered_our_method,pynguin_branch,coverup_branch,codamosa_branch,our_branch,best_method,best_branch,our_improvement_over_pynguin,our_improvement_over_coverup,our_improvement_over_codamosa,coverup_status,codamosa_status,our_status,failure_summary,codamosa_llm_calls,codamosa_llm_query_time,codamosa_saved_tests
ODEPDEExtra_reaction_diffusion_regime,new,effective,True,91.67,100.00,94.12,100.00,coverup,100.00,8.33,0.00,5.88,ok,ok,improved,,24,124.5355236530304,13
ODEPDEExtra_runge_kutta_event,new,effective,True,25.00,100.00,23.08,87.50,coverup,100.00,62.50,-12.50,64.42,ok,ok,improved,,15,116.57152104377747,3
ODEPDEExtra_wave_energy_state,new,effective,True,95.00,54.55,,100.00,our_method,100.00,5.00,45.45,,ok,missing_statistics,improved,CodaMOSA:codamosa_empty_seed_bug,,,
PDEBench_advection_step,new,effective,True,92.86,100.00,57.14,92.86,coverup,100.00,0.00,-7.14,35.72,ok,ok,no_improvement_kept_baseline,Our method:generated_tests_failed_then_filtered_no_improvement,21,102.56073379516602,
PDEBench_boundary_selector,new,effective,True,85.71,100.00,70.59,100.00,coverup,100.00,14.29,0.00,29.41,ok,ok,improved,,21,112.93133187294006,2
PDEBench_burgers_flux,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
PDEBench_cfl_condition,new,global_only,False,100.00,100.00,,100.00,pynguin,100.00,0.00,0.00,,ok,missing_statistics,not_entered,CodaMOSA:codamosa_empty_seed_bug,,,
PDEBench_diffusion_step,new,effective,True,91.67,100.00,94.44,100.00,coverup,100.00,8.33,0.00,5.56,ok,ok,improved,,19,103.80484628677368,
PDEBench_grid_initializer,new,global_only,False,100.00,100.00,,100.00,pynguin,100.00,0.00,0.00,,ok,missing_statistics,not_entered,CodaMOSA:no_statistics_no_tests,,,
PDEBench_reaction_diffusion_update,new,global_only,False,100.00,100.00,80.00,100.00,pynguin,100.00,0.00,0.00,20.00,ok,ok,not_entered,,13,112.3636531829834,
PDEBench_residual_error,new,effective,True,90.00,100.00,54.55,100.00,coverup,100.00,10.00,0.00,45.45,ok,ok,improved,,15,118.68873524665833,
PDEExtra_advection_limiter,new,effective,True,83.33,100.00,47.37,100.00,coverup,100.00,16.67,0.00,52.63,ok,ok,improved,,9,118.65530014038086,
PDEExtra_boundary_stencil,new,effective,True,87.50,100.00,88.89,100.00,coverup,100.00,12.50,0.00,11.11,ok,ok,improved,,11,116.16811895370483,
PDEExtra_cfl_classifier,new,global_only,False,100.00,4.17,78.95,100.00,pynguin,100.00,0.00,95.83,21.05,failure_or_warning,ok,not_entered,CoverUp:no_tests_collected,16,142.13500595092773,1
PDEExtra_grid_refine,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,15,113.440833568573,1
PDEExtra_poisson_relax,new,global_only,False,100.00,100.00,30.77,100.00,pynguin,100.00,0.00,0.00,69.23,ok,ok,not_entered,,16,117.0909059047699,
PDEExtra_reaction_source,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
PDEExtra_residual_stop,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
PDEExtra_shock_sensor,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
Runge_Kutta,original,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,failure_or_warning,ok,not_entered,CoverUp:no_tests_collected,,,
SciPy_binned_statistic_edges,new,effective,True,75.00,100.00,82.35,100.00,coverup,100.00,25.00,0.00,17.65,ok,ok,improved,,14,126.80671644210815,14
SciPy_chandrupatla_validate,new,global_only,False,100.00,57.58,100.00,100.00,pynguin,100.00,0.00,42.42,0.00,ok,ok,not_entered,,10,98.69489216804504,1
SciPy_continued_fraction,new,global_only,False,100.00,95.00,91.30,100.00,pynguin,100.00,0.00,5.00,8.70,ok,ok,not_entered,,14,114.72471880912781,
SciPy_cubic_boundary,new,effective,True,65.00,100.00,76.19,100.00,coverup,100.00,35.00,0.00,23.81,ok,ok,improved,,21,106.71619772911072,13
SciPy_finite_difference_derivative,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
SciPy_group_columns_sparse,new,global_only,False,100.00,55.26,100.00,100.00,pynguin,100.00,0.00,44.74,0.00,ok,ok,not_entered,,10,59.646734952926636,5
SciPy_huber_loss,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
SciPy_linalg_toeplitz_validate,new,global_only,False,100.00,100.00,94.74,100.00,pynguin,100.00,0.00,0.00,5.26,ok,ok,not_entered,,24,107.03406715393066,
SciPy_optimize_bounds,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,10,72.58701682090759,9
SciPy_signal_chirp_phase,new,effective,True,71.43,100.00,64.71,100.00,coverup,100.00,28.57,0.00,35.29,ok,ok,improved,,22,114.99347257614136,4
SciPy_sparse_norm,new,global_only,False,100.00,100.00,94.12,100.00,pynguin,100.00,0.00,0.00,5.88,ok,ok,not_entered,,11,116.00797271728516,1
SciPy_wilcoxon_rank,new,effective,True,85.71,100.00,86.67,85.71,coverup,100.00,0.00,-14.29,-0.96,ok,ok,no_improvement_kept_baseline,Our method:valid_tests_no_branch_improvement,13,124.50498700141907,19
SfePyExtra_contact_penalty,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
SfePyExtra_dof_map,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,10,50.63684582710266,31
SfePyExtra_element_quality,new,global_only,False,100.00,90.00,100.00,100.00,pynguin,100.00,0.00,10.00,0.00,ok,ok,not_entered,,10,57.4841685295105,23
SfePyExtra_material_update,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
SfePyExtra_newton_status,new,global_only,False,100.00,100.00,82.35,100.00,pynguin,100.00,0.00,0.00,17.65,ok,ok,not_entered,,18,120.5486512184143,2
SfePyExtra_quadrature_order,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
SfePyExtra_region_selector,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,20,91.34321522712708,1
SfePyExtra_tensor_symmetry,new,effective,True,83.33,100.00,88.89,83.33,coverup,100.00,0.00,-16.67,-5.56,ok,ok,no_improvement_kept_baseline,Our method:generated_tests_failed_then_filtered_no_improvement,23,117.61410212516785,14
SfePy_axisymmetric_stress,new,global_only,False,100.00,100.00,76.47,100.00,pynguin,100.00,0.00,0.00,23.53,ok,ok,not_entered,,16,140.3034975528717,1
SfePy_biot_coupling,new,global_only,False,100.00,100.00,,100.00,pynguin,100.00,0.00,0.00,,ok,missing_statistics,not_entered,CodaMOSA:codamosa_empty_seed_bug,,,
SfePy_boundary_region_selector,new,effective,True,85.71,100.00,52.94,100.00,coverup,100.00,14.29,0.00,47.06,ok,ok,improved,,19,109.95473074913025,
SfePy_dg_advection_flux,new,global_only,False,100.00,100.00,95.24,100.00,pynguin,100.00,0.00,0.00,4.76,ok,ok,not_entered,,17,113.61320853233337,1
SfePy_elastic_strain_energy,new,global_only,False,100.00,100.00,60.00,100.00,pynguin,100.00,0.00,0.00,40.00,ok,ok,not_entered,,19,107.55109596252441,
SfePy_laplace_dirichlet,new,effective,True,81.25,100.00,69.57,100.00,coverup,100.00,18.75,0.00,30.43,ok,ok,improved,,17,109.32418370246887,6
SfePy_material_coefficient,new,global_only,False,100.00,100.00,66.67,100.00,pynguin,100.00,0.00,0.00,33.33,ok,ok,not_entered,,14,119.7676088809967,1
SfePy_mesh_refinement_indicator,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
SfePy_piezoelectric_coupling,new,effective,True,83.33,100.00,66.67,91.67,coverup,100.00,8.34,-8.33,25.00,ok,ok,improved,,23,109.70345115661621,4
SfePy_residual_convergence,new,global_only,False,100.00,100.00,89.66,100.00,pynguin,100.00,0.00,0.00,10.34,ok,ok,not_entered,,15,102.07765030860901,2
SparseFiniteDifferenceSolver,original,effective,True,59.73,78.73,97.40,81.08,codamosa,97.40,21.35,2.35,-16.32,ok,ok,improved,,,,
TBCExtra_cholesky_check,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,10,67.57484269142151,16
TBCExtra_integral_rule,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,10,65.48682260513306,1
TBCExtra_lu_diagonal,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
TBCExtra_matrix_condition,new,global_only,False,100.00,100.00,88.89,100.00,pynguin,100.00,0.00,0.00,11.11,ok,ok,not_entered,,21,116.91586327552795,2
TBCExtra_pivot_strategy,new,effective,True,12.50,9.09,27.27,87.50,our_method,87.50,75.00,78.41,60.23,failure_or_warning,ok,improved,CoverUp:no_tests_collected,18,111.46245431900024,
TBCExtra_root_bracket,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
TBCExtra_step_controller,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,10,76.56973934173584,12
TBCExtra_vector_norm,new,effective,True,92.86,100.00,80.95,92.86,coverup,100.00,0.00,-7.14,11.91,ok,ok,no_improvement_kept_baseline,Our method:valid_tests_no_branch_improvement,15,112.41465425491333,3
Trapezoidal Rule,original,effective,True,19.44,100.00,,100.00,coverup,100.00,80.56,0.00,,ok,missing_statistics,improved,CodaMOSA:codamosa_empty_seed_bug,,,
VectorCalculator1,original,effective,True,91.67,100.00,80.00,100.00,coverup,100.00,8.33,0.00,20.00,ok,ok,improved,,70,302.42815685272217,
VectorCalculator2,original,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
VectorCalculator3,original,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
VectorCalculator4,original,effective,True,55.00,100.00,100.00,100.00,coverup,100.00,45.00,0.00,0.00,ok,ok,improved,,10,39.435070514678955,2
euler_diffusion,original,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,10,149.41015601158142,
integrator1,original,effective,True,71.34,71.34,59.09,93.75,our_method,93.75,22.41,22.41,34.66,failure_or_warning,ok,improved,CoverUp:test_assertion_or_runtime_failure,10,143.82678866386414,13
integrator2,original,effective,True,65.00,100.00,,100.00,coverup,100.00,35.00,0.00,,ok,missing_statistics,improved,CodaMOSA:no_statistics_no_tests,,,
integrator3,original,effective,True,21.74,91.30,,50.00,coverup,91.30,28.26,-41.30,,ok,missing_statistics,improved,CodaMOSA:codamosa_empty_seed_bug,,,
integrator4,original,effective,True,40.00,100.00,33.33,100.00,coverup,100.00,60.00,0.00,66.67,ok,ok,improved,,70,341.0445122718811,1
integrator5,original,effective,True,100.00,100.00,,100.00,pynguin,100.00,0.00,0.00,,ok,missing_statistics,no_improvement_kept_baseline,Our method:no_improvement_legacy_run | CodaMOSA:codamosa_empty_seed_bug,,,
integrator6,original,effective,True,13.04,13.04,8.00,13.04,pynguin,13.04,0.00,0.00,5.04,ok,ok,no_improvement_kept_baseline,Our method:generation_or_evaluation_failures,94,391.3033220767975,11
qr_decomposition,original,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,failure_or_warning,ok,not_entered,CoverUp:no_tests_collected,,,
solve_equation1,original,effective,True,21.05,89.47,11.11,100.00,our_method,100.00,78.95,10.53,88.89,ok,ok,improved,,50,268.43423891067505,
solve_equation2,original,effective,True,20.00,12.50,10.00,70.00,our_method,70.00,50.00,57.50,60.00,failure_or_warning,ok,improved,CoverUp:no_tests_collected,58,435.3730068206787,1
